#id,mass,radius,vx,vy,vz,x,y,z
#-,system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#None,kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
40,2.77386722916e+30,7.47989353455e+13,718.286791392,40615.886693,-583.177601413,2.62278829774e+20,-1.09456431085e+16,-2.44399193998e+16
41,6.67648502909e+30,7.47989353455e+13,-854.248789052,40008.1143608,-119.321479449,2.62249088797e+20,-4.77865859762e+15,3.0540044982e+16
42,2.21985707492e+30,7.47989353455e+13,-406.895802288,39746.8293386,57.5729499728,2.62299605407e+20,-1.90215555481e+16,8.59759336328e+14
43,4.09641112098e+30,7.47989353455e+13,428.794986271,40283.8805202,134.924079872,2.62228595341e+20,1.92160181568e+16,-3.01430628742e+16
44,1.21691315502e+31,7.47989353455e+13,83.6176644654,39611.3435808,230.07284192,2.62317546221e+20,-1.24941981418e+16,2.76453152207e+15
45,2.55076748793e+30,7.47989353455e+13,-187.838186221,39816.2339766,40.0229078853,2.62315329679e+20,-1.3232980697e+16,-6.30721728601e+14
46,3.35220712788e+31,7.47989353455e+13,-537.947987428,38971.4642678,33.1708108365,2.62249431138e+20,4.91216773833e+15,2.04275118012e+16
47,2.13616424639e+30,7.47989353455e+13,-111.963499211,39766.7497854,44.4220347184,2.62313608132e+20,-9.50112423306e+15,4.10686602938e+15
48,5.00654659378e+30,7.47989353455e+13,-5.57688230599,39755.6360234,-73.3778680091,2.62309112893e+20,-1.75634607966e+16,1.90628843262e+16
49,1.55408501812e+31,7.47989353455e+13,-620.086691286,39111.6421629,69.2287722845,2.62245913855e+20,5.53642983801e+15,6.10216889655e+15
50,4.40109338585e+30,7.47989353455e+13,388.517158009,40436.5945582,-39.0590707086,2.62233913126e+20,1.49586815721e+16,-2.62486266048e+16
51,2.13724889837e+30,7.47989353455e+13,-526.799473109,39780.7440928,98.2605152248,2.62303004082e+20,-1.67553137517e+16,1.18062061895e+16
52,3.22308468852e+31,7.47989353455e+13,44.4924296173,40604.8347725,52.5979804206,2.6231927923e+20,3.44905148916e+15,5.9788320281e+15
53,3.34977644647e+30,7.47989353455e+13,420.506802465,41084.9776532,-420.519511815,2.62280052727e+20,-9.75206294605e+15,-2.10388233173e+16
54,2.24045617222e+30,7.47989353455e+13,-9.13292337109,39725.9978971,-24.636264343,2.62303559686e+20,-1.36334665659e+16,1.11907025435e+16
55,3.3505717095e+30,7.47989353455e+13,-1071.790735,39968.5049311,-58.054129005,2.62253708281e+20,-1.31754728831e+16,2.99336245481e+16
56,3.51563298092e+30,7.47989353455e+13,134.187863479,39600.5075192,238.907033292,2.62324113319e+20,-1.41531351772e+16,-3.25843455112e+15
