star_i,star_j,time ,relative_dx_pc,relative_dy_pc,relative_dz_pc,relative_dvx_kms,relative_dvy_kms,relative_dvz_kms,distance_pc,mass_star_i_MSun,mass_star_j_MSun,mass_ratio
61,29,50.0 Myr,[ 0.00097634],[ 0.00186911],[ 0.00210875],[-1.21007098],[-6.59425901],[ 6.70436602],[ 0.00210875],7.75182634499,10.0792049182,[ 1.30023616]
61,29,51.0 Myr,[-0.00022207],[ 0.00141282],[ 0.00143017],[ 0.37120175],[-6.0971613],[ 6.10845043],[ 0.00143017],7.75182634499,10.0792049182,[ 1.30023616]
61,29,52.0 Myr,[ 0.00209134],[ 0.0030749],[ 0.00371869],[-2.22121216],[-3.47317551],[ 4.12270925],[ 0.00371869],7.75182634499,10.0792049182,[ 1.30023616]
61,99,53.0 Myr,[ 0.002213],[-0.00226394],[ 0.00316588],[-3.03204415],[ 0.38572484],[ 3.05648088],[ 0.00316588],7.75182634499,7.45891495245,[ 1.03926997]
99,18,13.0 Myr,[ 0.0029924],[ 0.00122875],[ 0.00323486],[-3.93180065],[ 0.79325457],[ 4.01102345],[ 0.00323486],7.45891495245,1.20301815447,[ 6.20016824]
99,18,17.0 Myr,[ 0.00119656],[-0.00377833],[ 0.00396328],[ 2.64329855],[-2.12279871],[ 3.39017722],[ 0.00396328],7.45891495245,1.20301815447,[ 6.20016824]
99,18,21.0 Myr,[ 0.00141725],[-0.00389119],[ 0.00414125],[ 2.60443447],[-1.99403946],[ 3.28013297],[ 0.00414125],7.45891495245,1.20301815447,[ 6.20016824]
99,18,29.0 Myr,[-0.00061673],[-0.0012927],[ 0.00143228],[ 2.47478512],[-5.40377094],[ 5.94350921],[ 0.00143228],7.45891495245,1.20301815447,[ 6.20016824]
99,61,53.0 Myr,[-0.002213],[ 0.00226394],[ 0.00316588],[ 3.03204415],[-0.38572484],[ 3.05648088],[ 0.00316588],7.45891495245,7.75182634499,[ 1.03926997]
99,29,55.0 Myr,[ 0.00359708],[-0.00059524],[ 0.003646],[ 3.25820846],[-1.67705089],[ 3.66448114],[ 0.003646],7.45891495245,10.0792049182,[ 1.3512964]
99,29,56.0 Myr,[ 0.00128912],[ 0.00024355],[ 0.00131192],[ 8.03420201],[-1.65705547],[ 8.20330633],[ 0.00131192],7.45891495245,10.0792049182,[ 1.3512964]
99,29,57.0 Myr,[ 0.0026346],[-0.00185561],[ 0.00322248],[-4.19119935],[ 1.39847882],[ 4.41835886],[ 0.00322248],7.45891495245,10.0792049182,[ 1.3512964]
99,29,60.0 Myr,[ 0.00323826],[-0.00037331],[ 0.00325971],[ 3.82136254],[-1.70434431],[ 4.18420856],[ 0.00325971],7.45891495245,10.0792049182,[ 1.3512964]
99,29,61.0 Myr,[ 0.00230697],[ -5.42808039e-06],[ 0.00230697],[ 5.43896926],[-1.7867744],[ 5.72494099],[ 0.00230697],7.45891495245,10.0792049182,[ 1.3512964]
99,29,62.0 Myr,[ 0.00256802],[ -8.76964414e-05],[ 0.00256952],[ 4.94270683],[-1.76243461],[ 5.24752576],[ 0.00256952],7.45891495245,10.0792049182,[ 1.3512964]
99,29,63.0 Myr,[ 0.00313725],[-0.00030092],[ 0.00315165],[ 3.98330465],[-1.68662289],[ 4.32566904],[ 0.00315165],7.45891495245,10.0792049182,[ 1.3512964]
99,29,64.0 Myr,[ 0.00305937],[-0.00025906],[ 0.00307032],[ 4.10827123],[-1.68579985],[ 4.44069968],[ 0.00307032],7.45891495245,10.0792049182,[ 1.3512964]
99,29,65.0 Myr,[ 0.00251347],[ -4.43000090e-05],[ 0.00251386],[ 5.03821969],[-1.71960782],[ 5.32359922],[ 0.00251386],7.45891495245,10.0792049182,[ 1.3512964]
99,29,66.0 Myr,[ 0.00203565],[ 0.00011194],[ 0.00203872],[ 5.98337007],[-1.68449343],[ 6.21596617],[ 0.00203872],7.45891495245,10.0792049182,[ 1.3512964]
99,29,67.0 Myr,[ 0.00069851],[ 0.00036173],[ 0.00078662],[ 10.22102928],[-0.57505816],[ 10.23719353],[ 0.00078662],7.45891495245,10.0792049182,[ 1.3512964]
99,29,68.0 Myr,[ 0.00101593],[-0.00109915],[ 0.00149674],[-7.27944353],[ 3.84087735],[ 8.23059152],[ 0.00149674],7.45891495245,10.0792049182,[ 1.3512964]
99,29,69.0 Myr,[ 0.00275171],[-0.00178609],[ 0.00328055],[-4.15845459],[ 1.20949575],[ 4.33077644],[ 0.00328055],7.45891495245,10.0792049182,[ 1.3512964]
99,29,70.0 Myr,[ 0.00402858],[-0.00203664],[ 0.00451413],[-2.50329484],[ 0.24798938],[ 2.51554841],[ 0.00451413],7.45891495245,10.0792049182,[ 1.3512964]
99,29,73.0 Myr,[ 0.00407657],[-0.00200481],[ 0.00454287],[-2.45489418],[ 0.20171962],[ 2.46316793],[ 0.00454287],7.45891495245,10.0792049182,[ 1.3512964]
99,29,74.0 Myr,[ 0.0031611],[-0.00184549],[ 0.00366038],[-3.65153765],[ 0.83496185],[ 3.74578276],[ 0.00366038],7.45891495245,10.0792049182,[ 1.3512964]
99,29,75.0 Myr,[ 0.0012822],[-0.00119711],[ 0.00175417],[-6.78226334],[ 3.13457779],[ 7.47159112],[ 0.00175417],7.45891495245,10.0792049182,[ 1.3512964]
99,29,76.0 Myr,[ 0.00207845],[ 0.00016254],[ 0.0020848],[ 5.84086417],[-1.51587765],[ 6.03436652],[ 0.0020848],7.45891495245,10.0792049182,[ 1.3512964]
99,29,77.0 Myr,[ 0.0038929],[-0.00049734],[ 0.00392454],[ 2.86556701],[-1.41928247],[ 3.19778627],[ 0.00392454],7.45891495245,10.0792049182,[ 1.3512964]
99,29,85.0 Myr,[ 0.00412165],[-0.00186493],[ 0.00452394],[-2.45583298],[ 0.11650256],[ 2.45859482],[ 0.00452394],7.45891495245,10.0792049182,[ 1.3512964]
99,29,86.0 Myr,[ 0.00282648],[-0.00165434],[ 0.00327503],[-4.20553568],[ 1.01101085],[ 4.32535239],[ 0.00327503],7.45891495245,10.0792049182,[ 1.3512964]
99,29,87.0 Myr,[ 0.00338294],[-0.00175923],[ 0.00381303],[-3.44971039],[ 0.58205944],[ 3.49847038],[ 0.00381303],7.45891495245,10.0792049182,[ 1.3512964]
99,29,88.0 Myr,[ 0.00439619],[-0.00183199],[ 0.00476263],[-2.08379577],[-0.06421247],[ 2.0847849],[ 0.00476263],7.45891495245,10.0792049182,[ 1.3512964]
99,29,93.0 Myr,[ 0.00438848],[-0.00056131],[ 0.00442424],[ 2.15068056],[-1.20928899],[ 2.46734812],[ 0.00442424],7.45891495245,10.0792049182,[ 1.3512964]
99,29,94.0 Myr,[ 0.00379929],[-0.00026146],[ 0.00380827],[ 3.00186099],[-1.28566186],[ 3.26559273],[ 0.00380827],7.45891495245,10.0792049182,[ 1.3512964]
99,29,95.0 Myr,[ 0.00426232],[-0.00046825],[ 0.00428796],[ 2.33830672],[-1.21873348],[ 2.63685221],[ 0.00428796],7.45891495245,10.0792049182,[ 1.3512964]
99,29,96.0 Myr,[ 0.00431089],[-0.00048111],[ 0.00433766],[ 2.26773549],[-1.20409542],[ 2.56758058],[ 0.00433766],7.45891495245,10.0792049182,[ 1.3512964]
