time (yr),particle1_id,particle2_id,particle1_radius (AU),particle2_radius (AU),particle1_x (kpc),particle1_y (kpc),particle1_z (kpc),particle2_x (kpc),particle2_y (kpc),particle2_z (kpc),particle1_vx (km/s),particle1_vy (km/s),particle1_vz (km/s),particle2_vx (km/s),particle2_vy (km/s),particle2_vz (km/s),particle1_mass (MSun),particle2_mass (MSun),mass_ratio,total_energy (erg),virial_ratio (Q)
86040.1354001,11794690769184877098,6858990115002502076,250.0,250.0,8.50006436935,0.00461556821223,-0.00106400652715,8.50006780024,0.00461361895599,-0.00106119047994,1.00461270191,39.8025449118,0.738190442462,-2.85709310626,42.0605677875,-0.767359071984,7.65888023519,5.72885624468,1.33689516861,3.96537949395e+48,1476.27056588
86501.1676058,6858990115002502076,11794690769184877098,125.0,125.0,8.50006617914,0.00463353802637,-0.00106170170068,8.50006484192,0.00463426903565,-0.00106354629984,-4.17852763347,42.5191587438,-1.64304572891,1.1190232458,39.4589635527,1.39495327812,5.72885624468,7.65888023519,1.33689516861,3.96537949395e+48,1476.27056588
86666.8510548,6858990115002502076,11794690769184877098,62.5,62.5,8.50006541149,0.00464077426369,-0.00106208303307,8.50006507575,0.00464093138386,-0.00106323292978,-4.9764294779,42.9331547994,-3.28041167352,1.711411751,39.1492629908,2.61986345005,5.72885624468,7.65888023519,1.33689516861,3.96537949395e+48,1476.27056588
86738.8873369,6858990115002502076,11794690769184877098,31.25,31.25,8.50006503433,0.00464393989417,-0.00106241801867,8.50006520966,0.00464381351396,-0.00106297012002,-4.94606351435,42.7872922655,-6.58495369958,1.68711945067,39.2583552536,5.09173481721,5.72885624468,7.65888023519,1.33689516861,3.96537949395e+48,1476.27056588
88172.4093517,4844477466550139398,4356574142925737607,250.0,250.0,8.49996778966,0.0023996378153,0.000725417643861,8.49996784995,0.00240401750151,0.000723545313946,-0.737709884316,39.9409719999,0.155125828613,-1.21431966367,37.4261158898,0.992193289039,3.12567653915,1.32052730436,2.366991223,3.96537949395e+48,1476.27056588
88921.5866861,4356574142925737607,4844477466550139398,125.0,125.0,8.4999669231,0.00243245803054,0.000724411472607,8.499967218,0.00243033873239,0.000725492022274,-1.17545858449,36.643003819,1.35914465783,-0.7670364581,40.2718840211,0.000859257358838,1.32052730436,3.12567653915,2.366991223,3.96537949395e+48,1476.27056588
89195.3245582,4844477466550139398,4356574142925737607,62.5,62.5,8.49996699209,0.00244166299765,0.000725464791817,8.49996661831,0.00244259741698,0.000724857079215,-0.891788800731,40.7292691706,-0.262562299639,-0.895749139547,35.5604319162,1.98331629146,3.12567653915,1.32052730436,2.366991223,3.96537949395e+48,1476.27056588
89292.5735391,4844477466550139398,4356574142925737607,31.25,31.25,8.49996689118,0.00244573645494,0.000725422270158,8.49996655787,0.0024460803622,0.000725093181149,-1.25353306524,41.289293494,-0.699980661088,-0.045186562638,34.2348786338,3.01891438501,3.12567653915,1.32052730436,2.366991223,3.96537949395e+48,1476.27056588
89329.4921337,4356574142925737607,4844477466550139398,15.625,15.625,8.49996658454,0.00244735270985,0.000725231254399,8.49996683184,0.00244730393406,0.00072538566461,2.0484269523,33.1109349178,4.63570720699,-2.13889347281,41.7641372936,-1.38300150625,1.32052730436,3.12567653915,2.366991223,3.96537949395e+48,1476.27056588
89350.2025649,4356574142925737607,4844477466550139398,7.8125,7.8125,8.499966677,0.0024480632936,0.000725351835201,8.4999667658,0.00244818459188,0.000725346911045,7.74389439057,35.6711094531,6.58996570614,-4.54543348087,40.6825235274,-2.20861018866,1.32052730436,3.12567653915,2.366991223,3.96537949395e+48,1476.27056588
89411.4334047,10251644706946609709,8337900970216579691,250.0,250.0,8.50161769919,0.00408452689561,-0.00014212691934,8.50162195208,0.00408629476487,-0.000140918077521,-0.886187332332,41.1141467636,0.0112652002153,-5.31084281423,37.8433082872,-0.975966930346,16.403605741,2.10178136415,7.8046204143,3.96537949395e+48,1476.27056588
89786.0220719,10251644706946609709,8337900970216579691,125.0,125.0,8.50161739908,0.00410029082907,-0.00014211087806,8.50161960656,0.00410068517749,-0.000141384575931,-0.615836847836,41.1938577886,0.0943188254994,-7.43993146116,37.2167128259,-1.62993400599,16.403605741,2.10178136415,7.8046204143,3.96537949395e+48,1476.27056588
89919.2891938,10251644706946609709,8337900970216579691,62.5,62.5,8.50161733617,0.00410590692867,-0.000142090677246,8.50161842684,0.00410574373035,-0.000141664194541,-0.217585052238,41.199990537,0.238389702004,-10.5730562174,37.1672367123,-2.7564154854,16.403605741,2.10178136415,7.8046204143,3.96537949395e+48,1476.27056588
89971.5154984,8337900970216579691,10251644706946609709,31.25,31.25,8.50161776641,0.00410775874334,-0.000141851770665,8.50161733678,0.00410810364696,-0.000142072777,-14.9946278869,39.0980481897,-4.72485935119,0.347783785648,40.9525160719,0.490500990582,2.10178136415,16.403605741,7.8046204143,3.96537949395e+48,1476.27056588
89997.6286507,8337900970216579691,10251644706946609709,15.625,15.625,8.50161730931,0.0041088909119,-0.000142015132662,8.50161735332,0.00410918603163,-0.000142054914505,-18.5102084933,48.6013699962,-7.79524260826,0.797744808974,39.7348222451,0.883854792176,2.10178136415,16.403605741,7.8046204143,3.96537949395e+48,1476.27056588
90074.1672005,332548842908108889,17496831480144547358,250.0,250.0,8.49985877901,0.00367878530349,0.000255323356949,8.49985729756,0.00367980616272,0.000250877360618,-0.578549901959,39.4416963371,-0.886421068163,-2.61495555414,38.6714839811,1.61311906713,4.74502887529,1.93172529786,2.45636834624,3.96537949395e+48,1476.27056588
113413.922617,15407406392321754401,10251644706946609709,250.0,7.8125,8.50157833637,0.00508279047831,-0.000145519036913,8.50157686939,0.00508083299175,-0.000145978100378,3.19498361798,35.716327626,0.973980430024,-2.17752751605,41.7832079202,-0.277199780648,3.32533075986,16.403605741,4.93292454964,3.96537949395e+48,1476.27056588
115142.793389,11453266010478028629,5127352620503999352,250.0,250.0,8.49826055305,0.00443686276226,0.000141557457889,8.49826123631,0.00443226581614,0.000142812326239,-1.34819858786,39.7487767066,-0.164564306498,-2.12703541498,43.0130983318,-0.67637001121,5.74637246463,1.15149686327,4.99035008076,3.96537949395e+48,1476.27056588
115747.898159,5127352620503999352,11453266010478028629,125.0,125.0,8.49825988076,0.00445917340078,0.000142306228173,8.49825972333,0.00446140272696,0.000141473040167,-2.26892380402,44.2222865117,-1.06697927491,-1.33035551285,39.5066891428,-0.0866820381073,1.15149686327,5.74637246463,4.99035008076,3.96537949395e+48,1476.27056588
115956.803377,11453266010478028629,5127352620503999352,62.5,62.5,8.49825943979,0.0044698159295,0.000141465845761,8.49825939058,0.00446875715244,0.000142021686227,-1.32899582903,39.1813265097,0.0587622317411,-2.29423427189,45.8463364479,-1.79347158151,5.74637246463,1.15149686327,4.99035008076,3.96537949395e+48,1476.27056588
116032.441473,11453266010478028629,5127352620503999352,31.25,31.25,8.49825933563,0.00447283361524,0.000141478219258,8.49825921968,0.0044723692456,0.000141843879575,-1.39030894847,38.7543530572,0.335072308372,-1.99461210381,47.9772201449,-3.17259990464,5.74637246463,1.15149686327,4.99035008076,3.96537949395e+48,1476.27056588
116061.255986,5127352620503999352,11453266010478028629,15.625,15.625,8.4982591723,0.00447381434255,0.000141721112022,8.49825929236,0.00447396937136,0.000141493959595,-0.822653594736,50.5243942278,-5.87104835633,-1.62561121056,38.243943593,0.875786955978,1.15149686327,5.74637246463,4.99035008076,3.96537949395e+48,1476.27056588
116072.961882,5127352620503999352,11453266010478028629,7.8125,7.8125,8.49825917683,0.0044744300806,0.00014162718791,8.49825927002,0.0044744250278,0.000141509180945,2.58956046402,52.1411602565,-11.0299868155,-2.30954609185,37.919969369,1.90956225777,1.15149686327,5.74637246463,4.99035008076,3.96537949395e+48,1476.27056588
124882.098735,1867517283656512395,8591519148501946754,250.0,250.0,8.49935794062,0.00391426228097,0.00145790952475,8.49935823244,0.00390971192081,0.00145656419181,-0.320063911599,38.1830843459,-0.0551447855549,-0.669478306568,40.4485818373,0.10159170661,1.32290599575,1.69840001914,1.28384029145,3.96537949395e+48,1476.27056588
125775.348634,1867517283656512395,8591519148501946754,125.0,125.0,8.49935763537,0.00394895572854,0.00145779033396,8.49935759433,0.00394680963633,0.00145670671389,-0.352512145985,37.6618366405,-0.267225803636,-0.724204337298,40.8571569296,0.258254313514,1.32290599575,1.69840001914,1.28384029145,3.96537949395e+48,1476.27056588
126113.91916,8591519148501946754,1867517283656512395,62.5,62.5,8.49935734768,0.00396103215816,0.00145684187186,8.49935750693,0.00396189938638,0.00145763837278,-0.676256147003,41.4024203935,0.632800006214,-0.420427683677,36.9630854034,-0.752216641835,1.69840001914,1.32290599575,1.28384029145,3.96537949395e+48,1476.27056588
126239.982654,8591519148501946754,1867517283656512395,31.25,31.25,8.49935726955,0.00396640173321,0.00145696087948,8.49935744094,0.00396662400019,0.00145749324724,-0.463526159585,41.9637459484,1.4258866539,-0.695973808482,36.2429116425,-1.77195980733,1.69840001914,1.32290599575,1.28384029145,3.96537949395e+48,1476.27056588
